ind.id	species	life.stage	family	cont.id	tmt	sex	dead	pup.weight	adu.weight	dev.rate	f.e.	temp	year
1	napi	egg	C2	NA	30	NA	0	NA	NA	0.338903271351355	NA	30.454765625	2018
2	napi	egg	C2	NA	30	NA	0	NA	NA	0.338903271351355	NA	30.454765625	2018
3	napi	egg	C2	NA	30	NA	0	NA	NA	0.338903271351355	NA	30.454765625	2018
4	napi	egg	C2	NA	30	NA	0	NA	NA	0.338903271351355	NA	30.454765625	2018
5	napi	egg	C2	NA	30	NA	0	NA	NA	0.338903271351355	NA	30.454765625	2018
6	napi	egg	C2	NA	30	NA	0	NA	NA	0.338903271351355	NA	30.454765625	2018
7	napi	egg	C2	NA	30	NA	0	NA	NA	0.338903271351355	NA	30.454765625	2018
8	napi	egg	C2	NA	30	NA	0	NA	NA	0.312364425161822	NA	30.454765625	2018
9	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
10	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
11	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
12	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
13	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
14	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
15	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
16	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
17	napi	egg	C2	NA	30	NA	1	NA	NA	NA	NA	30.3998958333333	2018
18	napi	egg	C2	NA	15	NA	0	NA	NA	0.126017327383547	NA	15.4194328703704	2018
19	napi	egg	C2	NA	15	NA	0	NA	NA	0.126017327383547	NA	15.4194328703704	2018
20	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
21	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
22	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
23	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
24	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
25	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
26	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
27	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
28	napi	egg	C2	NA	15	NA	0	NA	NA	0.121344906042291	NA	15.4194328703704	2018
29	napi	egg	C2	NA	15	NA	0	NA	NA	0.100812097452144	NA	15.3036647727273	2018
30	napi	egg	C2	NA	15	NA	0	NA	NA	0.100812097452144	NA	15.3036647727273	2018
31	napi	egg	C2	NA	15	NA	1	NA	NA	NA	NA	16.1379166666667	2018
32	napi	egg	C2	NA	10	NA	0	NA	NA	0.0475357343279558	NA	10.8881439393939	2018
33	napi	egg	C2	NA	10	NA	0	NA	NA	0.0475357343279558	NA	10.8881439393939	2018
34	napi	egg	C2	NA	10	NA	0	NA	NA	0.0455192034139403	NA	10.8854347826087	2018
35	napi	egg	C2	NA	10	NA	0	NA	NA	0.0455192034139403	NA	10.8854347826087	2018
36	napi	egg	C2	NA	10	NA	0	NA	NA	0.0455192034139403	NA	10.8854347826087	2018
37	napi	egg	C2	NA	10	NA	1	NA	NA	NA	NA	10.9705208333333	2018
38	napi	egg	C2	NA	10	NA	1	NA	NA	NA	NA	10.9705208333333	2018
39	napi	egg	C2	NA	10	NA	1	NA	NA	NA	NA	10.9705208333333	2018
40	napi	egg	C2	NA	10	NA	1	NA	NA	NA	NA	10.9705208333333	2018
41	napi	egg	C2	NA	10	NA	1	NA	NA	NA	NA	10.9705208333333	2018
42	napi	egg	C2	NA	10	NA	1	NA	NA	NA	NA	10.9705208333333	2018
43	napi	egg	C2	NA	10	NA	1	NA	NA	NA	NA	10.9705208333333	2018
